emoji,name,group,sub_group,codepoints,name_spanish,name_spanish_formatted
🏖,beach with umbrella,Travel & Places,place-geographic,1F3D6,playa con sombrilla,[playa con sombrilla]
🏜️,desert,Travel & Places,place-geographic,1F3DC FE0F,desierto,[desierto]
🏜,desert,Travel & Places,place-geographic,1F3DC,desierto,[desierto]
🏝️,desert island,Travel & Places,place-geographic,1F3DD FE0F,isla desierta,[isla desierta]
🏝,desert island,Travel & Places,place-geographic,1F3DD,isla desierta,[isla desierta]
🏞️,national park,Travel & Places,place-geographic,1F3DE FE0F,parque nacional,[parque nacional]
🏞,national park,Travel & Places,place-geographic,1F3DE,parque nacional,[parque nacional]
🏟️,stadium,Travel & Places,place-building,1F3DF FE0F,estadio,[estadio]
🏟,stadium,Travel & Places,place-building,1F3DF,estadio,[estadio]
🏛️,classical building,Travel & Places,place-building,1F3DB FE0F,edificio clasico,[edificio clasico]
🏛,classical building,Travel & Places,place-building,1F3DB,edificio clasico,[edificio clasico]
🏗️,building construction,Travel & Places,place-building,1F3D7 FE0F,construccion de edificio,[construccion de edificio]
🏗,building construction,Travel & Places,place-building,1F3D7,construccion de edificio,[construccion de edificio]
🧱,brick,Travel & Places,place-building,1F9F1,ladrillo,[ladrillo]
🪨,rock,Travel & Places,place-building,1FAA8,rock,[rock]
🪵,wood,Travel & Places,place-building,1FAB5,madera,[madera]
🛖,hut,Travel & Places,place-building,1F6D6,choza,[choza]
🏘️,houses,Travel & Places,place-building,1F3D8 FE0F,casas,[casas]
🏘,houses,Travel & Places,place-building,1F3D8,casas,[casas]
🏚️,derelict house,Travel & Places,place-building,1F3DA FE0F,casa abandonada,[casa abandonada]
🏚,derelict house,Travel & Places,place-building,1F3DA,casa abandonada,[casa abandonada]
🏠,house,Travel & Places,place-building,1F3E0,casa,[casa]
🏡,house with garden,Travel & Places,place-building,1F3E1,casa con jardin,[casa con jardin]
🏢,office building,Travel & Places,place-building,1F3E2,edificio de oficinas,[edificio de oficinas]
🏣,Japanese post office,Travel & Places,place-building,1F3E3,oficina de correos japones,[oficina de correos japones]
🏤,post office,Travel & Places,place-building,1F3E4,oficina postal,[oficina postal]
🏥,hospital,Travel & Places,place-building,1F3E5,hospital,[hospital]
🏦,bank,Travel & Places,place-building,1F3E6,banco,[banco]
🏨,hotel,Travel & Places,place-building,1F3E8,hotel,[hotel]
🏩,love hotel,Travel & Places,place-building,1F3E9,hotel del amor,[hotel del amor]
🏪,convenience store,Travel & Places,place-building,1F3EA,tienda de conveniencia,[tienda de conveniencia]
🏫,school,Travel & Places,place-building,1F3EB,colegio,[colegio]
🏬,department store,Travel & Places,place-building,1F3EC,grandes almacenes,[grandes almacenes]
🏭,factory,Travel & Places,place-building,1F3ED,fabrica,[fabrica]
🏯,Japanese castle,Travel & Places,place-building,1F3EF,castillo japones,[castillo japones]
🏰,castle,Travel & Places,place-building,1F3F0,castillo,[castillo]
💒,wedding,Travel & Places,place-building,1F492,boda,[boda]
🗼,Tokyo tower,Travel & Places,place-building,1F5FC,torre de tokio,[torre de tokio]
🗽,Statue of Liberty,Travel & Places,place-building,1F5FD,estatua de la libertad,[estatua de la libertad]
⛪,church,Travel & Places,place-religious,26EA,iglesia,[iglesia]
🕌,mosque,Travel & Places,place-religious,1F54C,mezquita,[mezquita]
🛕,hindu temple,Travel & Places,place-religious,1F6D5,templo hindu,[templo hindu]
🕍,synagogue,Travel & Places,place-religious,1F54D,sinagoga,[sinagoga]
⛩️,shinto shrine,Travel & Places,place-religious,26E9 FE0F,santuario sintoista,[santuario sintoista]
⛩,shinto shrine,Travel & Places,place-religious,26000000000,santuario sintoista,[santuario sintoista]
🕋,kaaba,Travel & Places,place-religious,1F54B,kaaba,[kaaba]
⛲,fountain,Travel & Places,place-other,26F2,fuente,[fuente]
⛺,tent,Travel & Places,place-other,26FA,tienda,[tienda]
🌁,foggy,Travel & Places,place-other,1F301,brumoso,[brumoso]
🌃,night with stars,Travel & Places,place-other,1F303,noche con estrellas,[noche con estrellas]
🏙️,cityscape,Travel & Places,place-other,1F3D9 FE0F,paisaje urbano,[paisaje urbano]
🏙,cityscape,Travel & Places,place-other,1F3D9,paisaje urbano,[paisaje urbano]
🌄,sunrise over mountains,Travel & Places,place-other,1F304,la salida del sol sobre las montanas,[la salida del sol sobre las montanas]
🌅,sunrise,Travel & Places,place-other,1F305,amanecer,[amanecer]
🌆,cityscape at dusk,Travel & Places,place-other,1F306,paisaje urbano al atardecer,[paisaje urbano al atardecer]
🌇,sunset,Travel & Places,place-other,1F307,puesta de sol,[puesta de sol]
🌉,bridge at night,Travel & Places,place-other,1F309,puente en la noche,[puente en la noche]
♨️,hot springs,Travel & Places,place-other,2668 FE0F,aguas termales,[aguas termales]
♨,hot springs,Travel & Places,place-other,2668,aguas termales,[aguas termales]
🎠,carousel horse,Travel & Places,place-other,1F3A0,carrusel de caballos,[carrusel de caballos]
🎡,ferris wheel,Travel & Places,place-other,1F3A1,noria,[noria]
🎢,roller coaster,Travel & Places,place-other,1F3A2,montana rusa,[montana rusa]
💈,barber pole,Travel & Places,place-other,1F488,del peluquero,[del peluquero]
🎪,circus tent,Travel & Places,place-other,1F3AA,tienda de circo,[tienda de circo]
🚂,locomotive,Travel & Places,transport-ground,1F682,locomotora,[locomotora]
🚃,railway car,Travel & Places,transport-ground,1F683,vagon de tren,[vagon de tren]
🚄,high-speed train,Travel & Places,transport-ground,1F684,tren de alta velocidad,[tren de alta velocidad]
🚅,bullet train,Travel & Places,transport-ground,1F685,tren bala,[tren bala]
🚆,train,Travel & Places,transport-ground,1F686,entrenar,[entrenar]
🚇,metro,Travel & Places,transport-ground,1F687,metro,[metro]
🚈,light rail,Travel & Places,transport-ground,1F688,tren ligero,[tren ligero]
🚉,station,Travel & Places,transport-ground,1F689,estacion,[estacion]
🚊,tram,Travel & Places,transport-ground,1F68A,tranvia,[tranvia]
🚝,monorail,Travel & Places,transport-ground,1F69D,monocarril,[monocarril]
🚞,mountain railway,Travel & Places,transport-ground,1F69E,tren de montana,[tren de montana]
🚋,tram car,Travel & Places,transport-ground,1F68B,tranvia,[tranvia]
🚌,bus,Travel & Places,transport-ground,1F68C,autobus,[autobus]
🚍,oncoming bus,Travel & Places,transport-ground,1F68D,autobus en direccion contraria,[autobus en direccion contraria]
🚎,trolleybus,Travel & Places,transport-ground,1F68E,trolebus,[trolebus]
🚐,minibus,Travel & Places,transport-ground,1F690,microbus,[microbus]
🚑,ambulance,Travel & Places,transport-ground,1F691,ambulancia,[ambulancia]
🚒,fire engine,Travel & Places,transport-ground,1F692,camion de bomberos,[camion de bomberos]
🚓,police car,Travel & Places,transport-ground,1F693,coche de policia,[coche de policia]
🚔,oncoming police car,Travel & Places,transport-ground,1F694,coche de policia se aproxima,[coche de policia se aproxima]
🚕,taxi,Travel & Places,transport-ground,1F695,taxi,[taxi]
🚖,oncoming taxi,Travel & Places,transport-ground,1F696,de taxi en direccion contraria,[de taxi en direccion contraria]
🚗,automobile,Travel & Places,transport-ground,1F697,automovil,[automovil]
🚘,oncoming automobile,Travel & Places,transport-ground,1F698,automovil que se aproxima,[automovil que se aproxima]
🚙,sport utility vehicle,Travel & Places,transport-ground,1F699,vehiculo utilitario deportivo,[vehiculo utilitario deportivo]
🛻,pickup truck,Travel & Places,transport-ground,1F6FB,camioneta,[camioneta]
🚚,delivery truck,Travel & Places,transport-ground,1F69A,camion de reparto,[camion de reparto]
🚛,articulated lorry,Travel & Places,transport-ground,1F69B,camion articulado,[camion articulado]
🚜,tractor,Travel & Places,transport-ground,1F69C,tractor,[tractor]
🏎️,racing car,Travel & Places,transport-ground,1F3CE FE0F,coche de carreras,[coche de carreras]
🏎,racing car,Travel & Places,transport-ground,1F3CE,coche de carreras,[coche de carreras]
🏍️,motorcycle,Travel & Places,transport-ground,1F3CD FE0F,motocicleta,[motocicleta]
🏍,motorcycle,Travel & Places,transport-ground,1F3CD,motocicleta,[motocicleta]
🛵,motor scooter,Travel & Places,transport-ground,1F6F5,motor de scooter,[motor de scooter]
🦽,manual wheelchair,Travel & Places,transport-ground,1F9BD,silla de ruedas manual,[silla de ruedas manual]
🦼,motorized wheelchair,Travel & Places,transport-ground,1F9BC,silla de ruedas motorizada,[silla de ruedas motorizada]
🛺,auto rickshaw,Travel & Places,transport-ground,1F6FA,carrito auto,[carrito auto]
🚲,bicycle,Travel & Places,transport-ground,1F6B2,bicicleta,[bicicleta]
🛴,kick scooter,Travel & Places,transport-ground,1F6F4,patinete,[patinete]
🛹,skateboard,Travel & Places,transport-ground,1F6F9,patineta,[patineta]
🛼,roller skate,Travel & Places,transport-ground,1F6FC,patin,[patin]
🚏,bus stop,Travel & Places,transport-ground,1F68F,parada de autobus,[parada de autobus]
🛣️,motorway,Travel & Places,transport-ground,1F6E3 FE0F,autopista,[autopista]
🛣,motorway,Travel & Places,transport-ground,1F6E3,autopista,[autopista]
🛤️,railway track,Travel & Places,transport-ground,1F6E4 FE0F,via de ferrocarril,[via de ferrocarril]
🛤,railway track,Travel & Places,transport-ground,1F6E4,via de ferrocarril,[via de ferrocarril]
🛢️,oil drum,Travel & Places,transport-ground,1F6E2 FE0F,tambor de aceite,[tambor de aceite]
🛢,oil drum,Travel & Places,transport-ground,1F6E2,tambor de aceite,[tambor de aceite]
⛽,fuel pump,Travel & Places,transport-ground,26FD,bomba de combustible,[bomba de combustible]
🚨,police car light,Travel & Places,transport-ground,1F6A8,la luz del coche de policia,[la luz del coche de policia]
🚥,horizontal traffic light,Travel & Places,transport-ground,1F6A5,semaforo horizontal,[semaforo horizontal]
🚦,vertical traffic light,Travel & Places,transport-ground,1F6A6,semaforo verticales,[semaforo verticales]
🛑,stop sign,Travel & Places,transport-ground,1F6D1,senal de stop,[senal de stop]
🚧,construction,Travel & Places,transport-ground,1F6A7,construccion,[construccion]
⚓,anchor,Travel & Places,transport-water,2693,ancla,[ancla]
⛵,sailboat,Travel & Places,transport-water,26F5,velero,[velero]
🛶,canoe,Travel & Places,transport-water,1F6F6,canoa,[canoa]
🚤,speedboat,Travel & Places,transport-water,1F6A4,lancha rapida,[lancha rapida]
🛳️,passenger ship,Travel & Places,transport-water,1F6F3 FE0F,buque de pasajeros,[buque de pasajeros]
🛳,passenger ship,Travel & Places,transport-water,1F6F3,buque de pasajeros,[buque de pasajeros]
⛴️,ferry,Travel & Places,transport-water,26F4 FE0F,transportar,[transportar]
⛴,ferry,Travel & Places,transport-water,26F4,transportar,[transportar]
🛥️,motor boat,Travel & Places,transport-water,1F6E5 FE0F,barco de motor,[barco de motor]
🛥,motor boat,Travel & Places,transport-water,1F6E5,barco de motor,[barco de motor]
🚢,ship,Travel & Places,transport-water,1F6A2,embarcacion,[embarcacion]
✈️,airplane,Travel & Places,transport-air,2708 FE0F,avion,[avion]
✈,airplane,Travel & Places,transport-air,2708,avion,[avion]
🛩️,small airplane,Travel & Places,transport-air,1F6E9 FE0F,pequeno avion,[pequeno avion]
🛩,small airplane,Travel & Places,transport-air,1F6E9,pequeno avion,[pequeno avion]
🛫,airplane departure,Travel & Places,transport-air,1F6EB,salida del avion,[salida del avion]
🛬,airplane arrival,Travel & Places,transport-air,1F6EC,la llegada del avion,[la llegada del avion]
🪂,parachute,Travel & Places,transport-air,1FA82,paracaidas,[paracaidas]
💺,seat,Travel & Places,transport-air,1F4BA,asiento,[asiento]
🚁,helicopter,Travel & Places,transport-air,1F681,helicoptero,[helicoptero]
🚟,suspension railway,Travel & Places,transport-air,1F69F,ferrocarril suspension,[ferrocarril suspension]
🚠,mountain cableway,Travel & Places,transport-air,1F6A0,teleferico de montana,[teleferico de montana]
🚡,aerial tramway,Travel & Places,transport-air,1F6A1,teleferico,[teleferico]
🛰️,satellite,Travel & Places,transport-air,1F6F0 FE0F,satelite,[satelite]
🛰,satellite,Travel & Places,transport-air,1F6F0,satelite,[satelite]
🚀,rocket,Travel & Places,transport-air,1F680,cohete,[cohete]
🛸,flying saucer,Travel & Places,transport-air,1F6F8,platillo volador,[platillo volador]
🛎️,bellhop bell,Travel & Places,hotel,1F6CE FE0F,campana de botones,[campana de botones]
🛎,bellhop bell,Travel & Places,hotel,1F6CE,campana de botones,[campana de botones]
🧳,luggage,Travel & Places,hotel,1F9F3,equipaje,[equipaje]
⌛,hourglass done,Travel & Places,time,231B,reloj de arena hecho,[reloj de arena hecho]
⏳,hourglass not done,Travel & Places,time,23F3,reloj de arena no se hace,[reloj de arena no se hace]
⌚,watch,Travel & Places,time,231A,reloj,[reloj]
⏰,alarm clock,Travel & Places,time,23F0,despertador,[despertador]
⏱️,stopwatch,Travel & Places,time,23F1 FE0F,cronografo,[cronografo]
⏱,stopwatch,Travel & Places,time,23F1,cronografo,[cronografo]
⏲️,timer clock,Travel & Places,time,23F2 FE0F,reloj temporizador,[reloj temporizador]
⏲,timer clock,Travel & Places,time,23F2,reloj temporizador,[reloj temporizador]
🕰️,mantelpiece clock,Travel & Places,time,1F570 FE0F,reloj de repisa,[reloj de repisa]
🕰,mantelpiece clock,Travel & Places,time,1F570,reloj de repisa,[reloj de repisa]
🕛,twelve o’clock,Travel & Places,time,1F55B,doce oa � � reloj,[doce oa � � reloj]
🕧,twelve-thirty,Travel & Places,time,1F567,1230,[1230]
🕐,one o’clock,Travel & Places,time,1F550,#value!,[#value!]
🕜,one-thirty,Travel & Places,time,1F55C,una y media,[una y media]
🕑,two o’clock,Travel & Places,time,1F551,dos de o� � � reloj,[dos de o� � � reloj]
🕝,two-thirty,Travel & Places,time,1F55D,dos y media,[dos y media]
🕒,three o’clock,Travel & Places,time,1F552,tres o� � � reloj,[tres o� � � reloj]
🕞,three-thirty,Travel & Places,time,1F55E,tres treinta,[tres treinta]
🕓,four o’clock,Travel & Places,time,1F553,cuatro de o� � � reloj,[cuatro de o� � � reloj]
🕟,four-thirty,Travel & Places,time,1F55F,las cuatro y media,[las cuatro y media]
🕔,five o’clock,Travel & Places,time,1F554,cinco de o� � � reloj,[cinco de o� � � reloj]
🕠,five-thirty,Travel & Places,time,1F560,cinco y media,[cinco y media]
🕕,six o’clock,Travel & Places,time,1F555,seis de o� � � reloj,[seis de o� � � reloj]
🕡,six-thirty,Travel & Places,time,1F561,seis y media,[seis y media]
🕖,seven o’clock,Travel & Places,time,1F556,siete de o� � � reloj,[siete de o� � � reloj]
🕢,seven-thirty,Travel & Places,time,1F562,siete y media,[siete y media]
🕗,eight o’clock,Travel & Places,time,1F557,ocho de o� � � reloj,[ocho de o� � � reloj]
🕣,eight-thirty,Travel & Places,time,1F563,ocho y media,[ocho y media]
🕘,nine o’clock,Travel & Places,time,1F558,nueve de o� � � reloj,[nueve de o� � � reloj]
🕤,nine-thirty,Travel & Places,time,1F564,nueve y media,[nueve y media]
🕙,ten o’clock,Travel & Places,time,1F559,o� � � reloj de diez,[o� � � reloj de diez]
🕥,ten-thirty,Travel & Places,time,1F565,diez treinta,[diez treinta]
🕚,eleven o’clock,Travel & Places,time,1F55A,once o� � � reloj,[once o� � � reloj]
🕦,eleven-thirty,Travel & Places,time,1F566,1130,[1130]
🌑,new moon,Travel & Places,sky & weather,1F311,luna nueva,[luna nueva]
🌒,waxing crescent moon,Travel & Places,sky & weather,1F312,cuarto creciente,[cuarto creciente]
🌓,first quarter moon,Travel & Places,sky & weather,1F313,luna del primer trimestre,[luna del primer trimestre]
🌔,waxing gibbous moon,Travel & Places,sky & weather,1F314,luna creciente,[luna creciente]
🌕,full moon,Travel & Places,sky & weather,1F315,luna llena,[luna llena]
🌖,waning gibbous moon,Travel & Places,sky & weather,1F316,luna gibosa menguante,[luna gibosa menguante]
🌗,last quarter moon,Travel & Places,sky & weather,1F317,ultimo cuarto,[ultimo cuarto]
🌘,waning crescent moon,Travel & Places,sky & weather,1F318,luna creciente menguante,[luna creciente menguante]
🌙,crescent moon,Travel & Places,sky & weather,1F319,luna creciente,[luna creciente]
🌚,new moon face,Travel & Places,sky & weather,1F31A,nueva cara de luna llena,[nueva cara de luna llena]
🌛,first quarter moon face,Travel & Places,sky & weather,1F31B,cara de luna primer trimestre,[cara de luna primer trimestre]
🌜,last quarter moon face,Travel & Places,sky & weather,1F31C,cara de luna ultimo trimestre,[cara de luna ultimo trimestre]
🌡️,thermometer,Travel & Places,sky & weather,1F321 FE0F,termometro,[termometro]
🌡,thermometer,Travel & Places,sky & weather,1F321,termometro,[termometro]
☀️,sun,Travel & Places,sky & weather,2600 FE0F,dom,[dom]
☀,sun,Travel & Places,sky & weather,2600,dom,[dom]
🌝,full moon face,Travel & Places,sky & weather,1F31D,cara de luna llena,[cara de luna llena]
🌞,sun with face,Travel & Places,sky & weather,1F31E,sol con la cara,[sol con la cara]
🪐,ringed planet,Travel & Places,sky & weather,1FA90,planeta de los anillos,[planeta de los anillos]
⭐,star,Travel & Places,sky & weather,2B50,estrella,[estrella]
🌟,glowing star,Travel & Places,sky & weather,1F31F,brillante estrella,[brillante estrella]
🌠,shooting star,Travel & Places,sky & weather,1F320,estrella fugaz,[estrella fugaz]
🌌,milky way,Travel & Places,sky & weather,1F30C,via lactea,[via lactea]
☁️,cloud,Travel & Places,sky & weather,2601 FE0F,nube,[nube]
☁,cloud,Travel & Places,sky & weather,2601,nube,[nube]
⛅,sun behind cloud,Travel & Places,sky & weather,26C5,sol detras de la nube,[sol detras de la nube]
⛈️,cloud with lightning and rain,Travel & Places,sky & weather,26C8 FE0F,nube con rayos y la lluvia,[nube con rayos y la lluvia]
⛈,cloud with lightning and rain,Travel & Places,sky & weather,26C8,nube con rayos y la lluvia,[nube con rayos y la lluvia]
🌤️,sun behind small cloud,Travel & Places,sky & weather,1F324 FE0F,sol detras de pequena nube,[sol detras de pequena nube]
🌤,sun behind small cloud,Travel & Places,sky & weather,1F324,sol detras de pequena nube,[sol detras de pequena nube]
🌥️,sun behind large cloud,Travel & Places,sky & weather,1F325 FE0F,sol detras de gran nube,[sol detras de gran nube]
🌥,sun behind large cloud,Travel & Places,sky & weather,1F325,sol detras de gran nube,[sol detras de gran nube]
🌦️,sun behind rain cloud,Travel & Places,sky & weather,1F326 FE0F,sol detras de la nube de lluvia,[sol detras de la nube de lluvia]
🌦,sun behind rain cloud,Travel & Places,sky & weather,1F326,sol detras de la nube de lluvia,[sol detras de la nube de lluvia]
🌧️,cloud with rain,Travel & Places,sky & weather,1F327 FE0F,nube con lluvia,[nube con lluvia]
🌧,cloud with rain,Travel & Places,sky & weather,1F327,nube con lluvia,[nube con lluvia]
🌨️,cloud with snow,Travel & Places,sky & weather,1F328 FE0F,nube de nieve,[nube de nieve]
🌨,cloud with snow,Travel & Places,sky & weather,1F328,nube de nieve,[nube de nieve]
🌩️,cloud with lightning,Travel & Places,sky & weather,1F329 FE0F,nube con rayo,[nube con rayo]
🌩,cloud with lightning,Travel & Places,sky & weather,1F329,nube con rayo,[nube con rayo]
🌪️,tornado,Travel & Places,sky & weather,1F32A FE0F,tornado,[tornado]
🌪,tornado,Travel & Places,sky & weather,1F32A,tornado,[tornado]
🌫️,fog,Travel & Places,sky & weather,1F32B FE0F,niebla,[niebla]
🌫,fog,Travel & Places,sky & weather,1F32B,niebla,[niebla]
🌬️,wind face,Travel & Places,sky & weather,1F32C FE0F,cara viento,[cara viento]
🌬,wind face,Travel & Places,sky & weather,1F32C,cara viento,[cara viento]
🌀,cyclone,Travel & Places,sky & weather,1F300,ciclon,[ciclon]
🌈,rainbow,Travel & Places,sky & weather,1F308,arco iris,[arco iris]
🌂,closed umbrella,Travel & Places,sky & weather,1F302,paraguas cerrado,[paraguas cerrado]
☂️,umbrella,Travel & Places,sky & weather,2602 FE0F,paraguas,[paraguas]
☂,umbrella,Travel & Places,sky & weather,2602,paraguas,[paraguas]
☔,umbrella with rain drops,Travel & Places,sky & weather,2614,paraguas con gotas de lluvia,[paraguas con gotas de lluvia]
⛱️,umbrella on ground,Travel & Places,sky & weather,26F1 FE0F,paraguas en planta,[paraguas en planta]
⛱,umbrella on ground,Travel & Places,sky & weather,26F1,paraguas en planta,[paraguas en planta]
⚡,high voltage,Travel & Places,sky & weather,26A1,alto voltaje,[alto voltaje]
❄️,snowflake,Travel & Places,sky & weather,2744 FE0F,copo de nieve,[copo de nieve]
❄,snowflake,Travel & Places,sky & weather,2744,copo de nieve,[copo de nieve]
☃️,snowman,Travel & Places,sky & weather,2603 FE0F,monigote de nieve,[monigote de nieve]
☃,snowman,Travel & Places,sky & weather,2603,monigote de nieve,[monigote de nieve]
⛄,snowman without snow,Travel & Places,sky & weather,26C4,muneco de nieve sin nieve,[muneco de nieve sin nieve]
☄️,comet,Travel & Places,sky & weather,2604 FE0F,cometa,[cometa]
☄,comet,Travel & Places,sky & weather,2604,cometa,[cometa]
🔥,fire,Travel & Places,sky & weather,1F525,fuego,[fuego]
💧,droplet,Travel & Places,sky & weather,1F4A7,gotita,[gotita]
🌊,water wave,Travel & Places,sky & weather,1F30A,ola de agua,[ola de agua]
🎃,jack-o-lantern,Activities,event,1F383,jack-o-linterna,[jack-o-linterna]
🎄,Christmas tree,Activities,event,1F384,arbol de navidad,[arbol de navidad]
🎆,fireworks,Activities,event,1F386,fuegos artificiales,[fuegos artificiales]
🎇,sparkler,Activities,event,1F387,bengala,[bengala]
🧨,firecracker,Activities,event,1F9E8,petardo,[petardo]
✨,sparkles,Activities,event,2728,destellos,[destellos]
🎈,balloon,Activities,event,1F388,globo,[globo]
🎉,party popper,Activities,event,1F389,aguafiestas,[aguafiestas]
🎊,confetti ball,Activities,event,1F38A,bola de papel picado,[bola de papel picado]
🎋,tanabata tree,Activities,event,1F38B,arbol de tanabata,[arbol de tanabata]
🎍,pine decoration,Activities,event,1F38D,la decoracion de pino,[la decoracion de pino]
🎎,Japanese dolls,Activities,event,1F38E,munecas japonesas,[munecas japonesas]
🎏,carp streamer,Activities,event,1F38F,serpentina de carpas,[serpentina de carpas]
🎐,wind chime,Activities,event,1F390,carillon de viento,[carillon de viento]
🎑,moon viewing ceremony,Activities,event,1F391,luna ceremonia de visualizacion,[luna ceremonia de visualizacion]
🧧,red envelope,Activities,event,1F9E7,sobre rojo,[sobre rojo]
🎀,ribbon,Activities,event,1F380,cinta,[cinta]
🎁,wrapped gift,Activities,event,1F381,regalo envuelto,[regalo envuelto]
🎗️,reminder ribbon,Activities,event,1F397 FE0F,cinta de recordatorio,[cinta de recordatorio]
🎗,reminder ribbon,Activities,event,1F397,cinta de recordatorio,[cinta de recordatorio]
🎟️,admission tickets,Activities,event,1F39F FE0F,boletos de admision,[boletos de admision]
🎟,admission tickets,Activities,event,1F39F,boletos de admision,[boletos de admision]
🎫,ticket,Activities,event,1F3AB,boleto,[boleto]
🎖️,military medal,Activities,award-medal,1F396 FE0F,medalla militar,[medalla militar]
🎖,military medal,Activities,award-medal,1F396,medalla militar,[medalla militar]
🏆,trophy,Activities,award-medal,1F3C6,trofeo,[trofeo]
🏅,sports medal,Activities,award-medal,1F3C5,medalla de los deportes,[medalla de los deportes]
🥇,1st place medal,Activities,award-medal,1F947,1er lugar medalla,[1er lugar medalla]
🥈,2nd place medal,Activities,award-medal,1F948,segundo lugar medalla,[segundo lugar medalla]
🥉,3rd place medal,Activities,award-medal,1F949,3er lugar medallas,[3er lugar medallas]
⚽,soccer ball,Activities,sport,26BD,balon de futbol,[balon de futbol]
⚾,baseball,Activities,sport,26BE,beisbol,[beisbol]
🥎,softball,Activities,sport,1F94E,sofbol,[sofbol]
🏀,basketball,Activities,sport,1F3C0,baloncesto,[baloncesto]
🏐,volleyball,Activities,sport,1F3D0,voleibol,[voleibol]
🏈,american football,Activities,sport,1F3C8,futbol americano,[futbol americano]
🏉,rugby football,Activities,sport,1F3C9,el rugby,[el rugby]
🎾,tennis,Activities,sport,1F3BE,tenis,[tenis]
🥏,flying disc,Activities,sport,1F94F,disco del vuelo,[disco del vuelo]
🎳,bowling,Activities,sport,1F3B3,bolos,[bolos]
🏏,cricket game,Activities,sport,1F3CF,juego de cricket,[juego de cricket]
🏑,field hockey,Activities,sport,1F3D1,hockey sobre hierba,[hockey sobre hierba]
🏒,ice hockey,Activities,sport,1F3D2,hockey sobre hielo,[hockey sobre hielo]
🥍,lacrosse,Activities,sport,1F94D,lacrosse,[lacrosse]
🏓,ping pong,Activities,sport,1F3D3,ping pong,[ping pong]
🏸,badminton,Activities,sport,1F3F8,badminton,[badminton]
🥊,boxing glove,Activities,sport,1F94A,guante de boxeo,[guante de boxeo]
🥋,martial arts uniform,Activities,sport,1F94B,uniforme de artes marciales,[uniforme de artes marciales]
🥅,goal net,Activities,sport,1F945,red de la porteria,[red de la porteria]
⛳,flag in hole,Activities,sport,26F3,bandera en el agujero,[bandera en el agujero]
⛸️,ice skate,Activities,sport,26F8 FE0F,patinar sobre hielo,[patinar sobre hielo]
⛸,ice skate,Activities,sport,26F8,patinar sobre hielo,[patinar sobre hielo]
🎣,fishing pole,Activities,sport,1F3A3,cana de pescar,[cana de pescar]
🤿,diving mask,Activities,sport,1F93F,mascara de buceo,[mascara de buceo]
🎽,running shirt,Activities,sport,1F3BD,camiseta para correr,[camiseta para correr]
🎿,skis,Activities,sport,1F3BF,esquis,[esquis]
🛷,sled,Activities,sport,1F6F7,trineo,[trineo]
🥌,curling stone,Activities,sport,1F94C,piedra que se encrespa,[piedra que se encrespa]
🎯,direct hit,Activities,game,1F3AF,golpe directo,[golpe directo]
🪀,yo-yo,Activities,game,1FA80,yoyo,[yoyo]
🪁,kite,Activities,game,1FA81,cometa,[cometa]
🎱,pool 8 ball,Activities,game,1F3B1,piscina de 8 bolas,[piscina de 8 bolas]
🔮,crystal ball,Activities,game,1F52E,bola de cristal,[bola de cristal]
🪄,magic wand,Activities,game,1FA84,varita magica,[varita magica]
🧿,nazar amulet,Activities,game,1F9FF,nazar amuleto,[nazar amuleto]
🎮,video game,Activities,game,1F3AE,videojuego,[videojuego]
🕹️,joystick,Activities,game,1F579 FE0F,palanca de mando,[palanca de mando]
🕹,joystick,Activities,game,1F579,palanca de mando,[palanca de mando]
🎰,slot machine,Activities,game,1F3B0,maquina de casino,[maquina de casino]
🎲,game die,Activities,game,1F3B2,mueren juego,[mueren juego]
🧩,puzzle piece,Activities,game,1F9E9,pieza de puzzle,[pieza de puzzle]
🧸,teddy bear,Activities,game,1F9F8,oso de peluche,[oso de peluche]
🪅,piñata,Activities,game,1FA85,pi� � ata,[pi� � ata]
🪆,nesting dolls,Activities,game,1FA86,munecas de la jerarquizacion,[munecas de la jerarquizacion]
♠️,spade suit,Activities,game,2660 FE0F,palo de espadas,[palo de espadas]
♠,spade suit,Activities,game,2660,palo de espadas,[palo de espadas]
♥️,heart suit,Activities,game,2665 FE0F,palo de corazon,[palo de corazon]
♥,heart suit,Activities,game,2665,palo de corazon,[palo de corazon]
♦️,diamond suit,Activities,game,2666 FE0F,palo de diamante,[palo de diamante]
♦,diamond suit,Activities,game,2666,palo de diamante,[palo de diamante]
♣️,club suit,Activities,game,2663 FE0F,palo de trebol,[palo de trebol]
♣,club suit,Activities,game,2663,palo de trebol,[palo de trebol]
♟️,chess pawn,Activities,game,265F FE0F,peon de ajedrez,[peon de ajedrez]
♟,chess pawn,Activities,game,265F,peon de ajedrez,[peon de ajedrez]
🃏,joker,Activities,game,1F0CF,bufon,[bufon]
🀄,mahjong red dragon,Activities,game,1F004,mahjong dragon rojo,[mahjong dragon rojo]
🎴,flower playing cards,Activities,game,1F3B4,naipes de flores,[naipes de flores]
🎭,performing arts,Activities,arts & crafts,1F3AD,las artes escenicas,[las artes escenicas]
🖼️,framed picture,Activities,arts & crafts,1F5BC FE0F,fotografia enmarcada,[fotografia enmarcada]
🖼,framed picture,Activities,arts & crafts,1F5BC,fotografia enmarcada,[fotografia enmarcada]
🎨,artist palette,Activities,arts & crafts,1F3A8,paleta del artista,[paleta del artista]
